"No.","Time","Source","Destination","Protocol","Length","Info"
"38","31.907834","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"39","31.909131","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"40","31.989931","157.240.195.56","10.100.102.210","TLSv1.2","174","Application Data"
"41","31.993547","10.100.102.210","157.240.195.56","TLSv1.2","149","Application Data"
"42","32.055178","157.240.195.56","10.100.102.210","TLSv1.2","142","Application Data"
"43","32.465477","157.240.195.56","10.100.102.210","TLSv1.2","151","Application Data"
"44","32.469118","10.100.102.210","157.240.195.56","TLSv1.2","150","Application Data"
"45","32.539716","157.240.195.56","10.100.102.210","TLSv1.2","148","Application Data"
"46","32.542636","10.100.102.210","157.240.195.56","TLSv1.2","147","Application Data"
"47","33.955812","157.240.195.56","10.100.102.210","TLSv1.2","131","Application Data"
"48","36.634494","157.240.195.56","10.100.102.210","TLSv1.2","310","Application Data"
"49","36.746708","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"50","36.781953","157.240.195.56","10.100.102.210","TLSv1.2","134","Application Data"
"51","36.830813","10.100.102.210","157.240.195.56","TLSv1.2","156","Application Data"
"52","36.918774","157.240.195.56","10.100.102.210","TLSv1.2","131","Application Data"
"53","37.036647","157.240.195.56","10.100.102.210","TLSv1.2","143","Application Data"
"54","38.761622","157.240.195.56","10.100.102.210","TLSv1.2","310","Application Data"
"55","38.838653","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
"56","38.896618","10.100.102.210","157.240.195.56","TLSv1.2","156","Application Data"
"57","39.071573","157.240.195.56","10.100.102.210","TLSv1.2","143","Application Data"
"58","39.817690","157.240.195.56","10.100.102.210","TCP","112","[TCP Previous segment not captured] 443  >  53521 [PSH, ACK] Seq=5776 Ack=2582 Win=4118 Len=58 [TCP segment of a reassembled PDU]"
"59","39.817690","157.240.195.56","10.100.102.210","TCP","1446","443  >  53521 [ACK] Seq=5834 Ack=2582 Win=4118 Len=1392 [TCP segment of a reassembled PDU]"
"60","39.817690","157.240.195.56","10.100.102.210","TCP","175","443  >  53521 [PSH, ACK] Seq=7226 Ack=2582 Win=4118 Len=121 [TCP segment of a reassembled PDU]"
"61","39.817690","157.240.195.56","10.100.102.210","TCP","1446","443  >  53521 [ACK] Seq=7347 Ack=2582 Win=4118 Len=1392 [TCP segment of a reassembled PDU]"
"62","39.817690","157.240.195.56","10.100.102.210","TCP","1257","443  >  53521 [PSH, ACK] Seq=8739 Ack=2582 Win=4118 Len=1203 [TCP segment of a reassembled PDU]"
"63","39.817690","157.240.195.56","10.100.102.210","TCP","1446","443  >  53521 [ACK] Seq=9942 Ack=2582 Win=4118 Len=1392 [TCP segment of a reassembled PDU]"
"64","39.817690","157.240.195.56","10.100.102.210","TCP","1446","443  >  53521 [ACK] Seq=11334 Ack=2582 Win=4118 Len=1392 [TCP segment of a reassembled PDU]"
"65","39.817690","157.240.195.56","10.100.102.210","TCP","1356","443  >  53521 [PSH, ACK] Seq=12726 Ack=2582 Win=4118 Len=1302 [TCP segment of a reassembled PDU]"
"66","39.817690","157.240.195.56","10.100.102.210","TCP","1446","[TCP Previous segment not captured] 443  >  53521 [ACK] Seq=15420 Ack=2582 Win=4118 Len=1392 [TCP segment of a reassembled PDU]"
