"No.","Time","Source","Destination","Protocol","Length","Info"
"190","65.063576","10.100.102.210","35.186.224.25","QUIC","1292","Initial, DCID=f5b16c721fcbda7d, PKN: 1, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, PING, PING, PING, PADDING, PING, PADDING, CRYPTO, PADDING, PING"
"191","65.064523","10.100.102.210","35.186.224.25","TLSv1.2","163","Ignored Unknown Record"
"192","65.064734","10.100.102.210","35.186.224.25","TLSv1.2","93","Application Data"
"193","65.072548","10.100.102.210","35.186.224.25","QUIC","1292","Initial, DCID=4115dc30cfd9e6f1, PKN: 1, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO"
"194","65.073163","10.100.102.210","35.186.224.25","TLSv1.2","373","Ignored Unknown Record"
"195","65.073232","10.100.102.210","35.186.224.25","TLSv1.2","93","Application Data"
"196","65.074018","10.100.102.210","35.186.224.25","TLSv1.2","348","Application Data"
"197","65.077976","35.186.224.25","10.100.102.210","TCP","54","443  >  63559 [ACK] Seq=1 Ack=111 Win=273 Len=0"
"198","65.077976","35.186.224.25","10.100.102.210","TCP","54","443  >  63559 [ACK] Seq=1 Ack=150 Win=273 Len=0"
"199","65.077976","35.186.224.25","10.100.102.210","TLSv1.2","93","Application Data"
"200","65.082861","35.186.224.25","10.100.102.210","TCP","54","443  >  63586 [ACK] Seq=1 Ack=321 Win=294 Len=0"
"201","65.082861","35.186.224.25","10.100.102.210","TCP","54","443  >  63586 [ACK] Seq=1 Ack=360 Win=294 Len=0"
"202","65.082861","35.186.224.25","10.100.102.210","TCP","54","443  >  63586 [ACK] Seq=1 Ack=654 Win=298 Len=0"
"203","65.083213","35.186.224.25","10.100.102.210","TLSv1.2","93","Application Data"
"204","65.100375","10.100.102.210","35.186.224.25","QUIC","1292","Initial, DCID=b8e4e8c07a0c6092, PKN: 1, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO"
"205","65.101004","10.100.102.210","35.186.224.25","TLSv1.2","177","Application Data"
"206","65.103568","35.186.224.25","10.100.102.210","QUIC","1292","Initial, SCID=f5b16c721fcbda7d, PKN: 1, ACK, PADDING"
"207","65.104155","35.186.224.25","10.100.102.210","QUIC","1292","Initial, SCID=c115dc30cfd9e6f1, PKN: 1, ACK, PADDING"
"208","65.112423","35.186.224.25","10.100.102.210","QUIC","1292","Handshake, SCID=f8e4e8c07a0c6092"
"209","65.112423","35.186.224.25","10.100.102.210","QUIC","1292","Handshake, SCID=f8e4e8c07a0c6092"
"210","65.112423","35.186.224.25","10.100.102.210","QUIC","530","Protected Payload (KP0)"
"211","65.113357","10.100.102.210","35.186.224.25","QUIC","81","Handshake, DCID=f8e4e8c07a0c6092"
"212","65.114127","35.186.224.25","10.100.102.210","TCP","54","443  >  63586 [ACK] Seq=40 Ack=777 Win=298 Len=0"
"213","65.114349","10.100.102.210","35.186.224.25","QUIC","206","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"214","65.120649","35.186.224.25","10.100.102.210","QUIC","560","Protected Payload (KP0)"
"215","65.120649","35.186.224.25","10.100.102.210","QUIC","163","Protected Payload (KP0)"
"216","65.121173","10.100.102.210","35.186.224.25","QUIC","73","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"217","65.123040","10.100.102.210","35.186.224.25","TCP","54","63559  >  443 [ACK] Seq=150 Ack=40 Win=512 Len=0"
"218","65.138639","10.100.102.210","35.186.224.25","QUIC","1292","Initial, DCID=c115dc30cfd9e6f1, PKN: 3, PADDING, PING, PADDING"
"219","65.150038","35.186.224.25","10.100.102.210","QUIC","1292","Protected Payload (KP0)"
"220","65.150038","35.186.224.25","10.100.102.210","QUIC","1292","Protected Payload (KP0)"
"221","65.150038","35.186.224.25","10.100.102.210","TLSv1.2","138","Application Data"
"222","65.150038","35.186.224.25","10.100.102.210","QUIC","66","Protected Payload (KP0)"
"223","65.151117","10.100.102.210","35.186.224.25","QUIC","207","Protected Payload (KP0), DCID=f5b16c721fcbda7d"
"224","65.151889","10.100.102.210","35.186.224.25","QUIC","1292","Protected Payload (KP0), DCID=c115dc30cfd9e6f1"
"225","65.153320","35.186.224.25","10.100.102.210","TLSv1.2","139","Application Data"
"226","65.153320","35.186.224.25","10.100.102.210","TLSv1.2","121","Application Data"
"227","65.153320","35.186.224.25","10.100.102.210","QUIC","1292","Protected Payload (KP0)"
"228","65.153452","10.100.102.210","35.186.224.25","TCP","54","63586  >  443 [ACK] Seq=777 Ack=191 Win=509 Len=0"
"229","65.157320","35.186.224.25","10.100.102.210","QUIC","560","Protected Payload (KP0)"
"230","65.157320","35.186.224.25","10.100.102.210","QUIC","163","Protected Payload (KP0)"
"231","65.158735","10.100.102.210","35.186.224.25","TLSv1.2","93","Application Data"
"232","65.161365","10.100.102.210","35.186.224.25","QUIC","73","Protected Payload (KP0), DCID=f5b16c721fcbda7d"
"233","65.162655","10.100.102.210","35.186.224.25","TLSv1.2","93","Application Data"
"234","65.165290","10.100.102.210","35.186.224.25","QUIC","1288","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"235","65.165684","10.100.102.210","35.186.224.25","QUIC","111","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"236","65.166294","10.100.102.210","35.186.224.25","QUIC","353","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"237","65.167239","10.100.102.210","35.186.224.25","QUIC","1094","Protected Payload (KP0), DCID=f5b16c721fcbda7d"
"238","65.183538","35.186.224.25","10.100.102.210","TCP","54","443  >  63586 [ACK] Seq=191 Ack=816 Win=298 Len=0"
"239","65.183538","35.186.224.25","10.100.102.210","QUIC","69","Protected Payload (KP0)"
"240","65.183538","35.186.224.25","10.100.102.210","QUIC","65","Protected Payload (KP0)"
"241","65.183538","35.186.224.25","10.100.102.210","QUIC","64","Protected Payload (KP0)"
"242","65.183538","35.186.224.25","10.100.102.210","QUIC","69","Protected Payload (KP0)"
"243","65.183538","35.186.224.25","10.100.102.210","TCP","54","443  >  63559 [ACK] Seq=125 Ack=189 Win=273 Len=0"
"244","65.183538","35.186.224.25","10.100.102.210","TLSv1.2","139","Application Data"
"245","65.184136","10.100.102.210","35.186.224.25","QUIC","73","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"246","65.186364","10.100.102.210","35.186.224.25","TLSv1.2","93","Application Data"
"247","65.187076","10.100.102.210","35.186.224.25","QUIC","204","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"248","65.211001","35.186.224.25","10.100.102.210","QUIC","69","Protected Payload (KP0)"
"249","65.211001","35.186.224.25","10.100.102.210","TCP","54","443  >  63586 [ACK] Seq=276 Ack=855 Win=298 Len=0"
"250","65.211327","10.100.102.210","35.186.224.25","QUIC","74","Protected Payload (KP0), DCID=f5b16c721fcbda7d"
"251","65.244575","10.100.102.210","35.186.224.25","QUIC","74","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"252","65.254517","35.186.224.25","10.100.102.210","QUIC","1288","Protected Payload (KP0)"
"253","65.254517","35.186.224.25","10.100.102.210","QUIC","425","Protected Payload (KP0)"
"254","65.254517","35.186.224.25","10.100.102.210","QUIC","64","Protected Payload (KP0)"
